Unit,Topic,Microtopic,MD File Name,Status,GitHub URL
Unit 1: Discrete Structures and Optimization,Optimization,PERT and CPM,optimization__pert_and_cpm.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Critical Path Calculations,optimization__critical_path_calculations.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Resource Levelling,optimization__resource_levelling.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Cost in Scheduling,optimization__cost_in_scheduling.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Digital Computers,digital_logic_circuits__digital_computers.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Logic Gates,digital_logic_circuits__logic_gates.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Boolean Algebra,digital_logic_circuits__boolean_algebra.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Map Simplifications,digital_logic_circuits__map_simplifications.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Combinational Circuits,digital_logic_circuits__combinational_circuits.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Flip-Flops,digital_logic_circuits__flip-flops.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Sequential Circuits,digital_logic_circuits__sequential_circuits.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Integrated Circuits,digital_logic_circuits__integrated_circuits.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Decoders,digital_logic_circuits__decoders.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Multiplexers,digital_logic_circuits__multiplexers.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Registers,digital_logic_circuits__registers.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Counters,digital_logic_circuits__counters.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Memory Unit,digital_logic_circuits__memory_unit.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Data Types,data_representation__data_types.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Number Systems,data_representation__number_systems.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Conversions,data_representation__conversions.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Complements,data_representation__complements.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Fixed Point Representation,data_representation__fixed_point_representation.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Floating Point Representation,data_representation__floating_point_representation.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Error Detection Codes,data_representation__error_detection_codes.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Computer Arithmetic: Add/Sub/Mul/Div,data_representation__computer_arithmetic:_add/sub/mul/div.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Register Transfer Language,register_transfer__register_transfer_language.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Bus and Memory Transfers,register_transfer__bus_and_memory_transfers.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Arithmetic Microoperations,register_transfer__arithmetic_microoperations.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Logic Microoperations,register_transfer__logic_microoperations.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Shift Microoperations,register_transfer__shift_microoperations.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Stored Program Organization,basic_computer_org.__stored_program_organization.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Instruction Codes,basic_computer_org.__instruction_codes.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Computer Registers,basic_computer_org.__computer_registers.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Computer Instructions,basic_computer_org.__computer_instructions.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Timing and Control,basic_computer_org.__timing_and_control.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Instruction Cycle,basic_computer_org.__instruction_cycle.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Memory-Reference Instructions,basic_computer_org.__memory-reference_instructions.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Input-Output,basic_computer_org.__input-output.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Interrupts,basic_computer_org.__interrupts.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Machine Language,programming_the_basic_computer__machine_language.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Assembly Language,programming_the_basic_computer__assembly_language.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Assembler,programming_the_basic_computer__assembler.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Program Loops,programming_the_basic_computer__program_loops.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Subroutines,programming_the_basic_computer__subroutines.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Input-Output Programming,programming_the_basic_computer__input-output_programming.md,Pending,
Unit 2: Computer System Architecture,Microprogrammed Control,Control Memory,microprogrammed_control__control_memory.md,Pending,
Unit 2: Computer System Architecture,Microprogrammed Control,Address Sequencing,microprogrammed_control__address_sequencing.md,Pending,
Unit 2: Computer System Architecture,Microprogrammed Control,Design of Control Unit,microprogrammed_control__design_of_control_unit.md,Pending,
Unit 2: Computer System Architecture,CPU,General Register Organization,cpu__general_register_organization.md,Pending,
Unit 2: Computer System Architecture,CPU,Stack Organization,cpu__stack_organization.md,Pending,
Unit 2: Computer System Architecture,CPU,Instruction Formats,cpu__instruction_formats.md,Pending,
Unit 2: Computer System Architecture,CPU,Addressing Modes,cpu__addressing_modes.md,Pending,
Unit 2: Computer System Architecture,CPU,RISC vs CISC,cpu__risc_vs_cisc.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Parallel Processing Concepts,pipelining__parallel_processing_concepts.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Pipelining Basics,pipelining__pipelining_basics.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Arithmetic Pipeline,pipelining__arithmetic_pipeline.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Instruction Pipeline,pipelining__instruction_pipeline.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Vector Processing,pipelining__vector_processing.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Array Processors,pipelining__array_processors.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,Peripheral Devices,i/o_organization__peripheral_devices.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,I/O Interface,i/o_organization__i/o_interface.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,Asynchronous Transfer,i/o_organization__asynchronous_transfer.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,Modes of Transfer,i/o_organization__modes_of_transfer.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,Priority Interrupts,i/o_organization__priority_interrupts.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,DMA,i/o_organization__dma.md,Pending,
Unit 2: Computer System Architecture,I/O Organization,Serial Communication,i/o_organization__serial_communication.md,Pending,
Unit 2: Computer System Architecture,Memory Hierarchy,Main Memory,memory_hierarchy__main_memory.md,Pending,
Unit 2: Computer System Architecture,Memory Hierarchy,Auxiliary Memory,memory_hierarchy__auxiliary_memory.md,Pending,
Unit 2: Computer System Architecture,Memory Hierarchy,Associative Memory,memory_hierarchy__associative_memory.md,Pending,
Unit 2: Computer System Architecture,Memory Hierarchy,Cache Memory,memory_hierarchy__cache_memory.md,Pending,
Unit 2: Computer System Architecture,Memory Hierarchy,Virtual Memory,memory_hierarchy__virtual_memory.md,Pending,
Unit 2: Computer System Architecture,Memory Hierarchy,Memory Management Hardware,memory_hierarchy__memory_management_hardware.md,Pending,
Unit 2: Computer System Architecture,Multiprocessors,Characteristics of Multiprocessors,multiprocessors__characteristics_of_multiprocessors.md,Pending,
Unit 2: Computer System Architecture,Multiprocessors,Interconnection Structures,multiprocessors__interconnection_structures.md,Pending,
Unit 2: Computer System Architecture,Multiprocessors,Interprocessor Arbitration,multiprocessors__interprocessor_arbitration.md,Pending,
Unit 2: Computer System Architecture,Multiprocessors,Communication and Synchronization,multiprocessors__communication_and_synchronization.md,Pending,
Unit 2: Computer System Architecture,Multiprocessors,Cache Coherence,multiprocessors__cache_coherence.md,Pending,
Unit 2: Computer System Architecture,Multiprocessors,Multicore Processors,multiprocessors__multicore_processors.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Programming Language Concepts,language_design__programming_language_concepts.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Programming Paradigms and Models,language_design__programming_paradigms_and_models.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Programming Environments,language_design__programming_environments.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Virtual Computers,language_design__virtual_computers.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Binding Times,language_design__binding_times.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Programming Language Syntax,language_design__programming_language_syntax.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Stages in Translation,language_design__stages_in_translation.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Language Design,Formal Translation Models,language_design__formal_translation_models.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Elementary Data Types,Scalar Data Types,elementary_data_types__scalar_data_types.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Elementary Data Types,Composite Data Types,elementary_data_types__composite_data_types.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Elementary Data Types,Properties of Types and Objects,elementary_data_types__properties_of_types_and_objects.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Tokens and Identifiers,programming_in_c__tokens_and_identifiers.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Data Types,programming_in_c__data_types.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Sequence Control,programming_in_c__sequence_control.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Subprogram Control,programming_in_c__subprogram_control.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Arrays and Strings,programming_in_c__arrays_and_strings.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Structures and Unions,programming_in_c__structures_and_unions.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Pointers,programming_in_c__pointers.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Functions,programming_in_c__functions.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,File Handling,programming_in_c__file_handling.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Command Line Arguments,programming_in_c__command_line_arguments.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C,Preprocessors,programming_in_c__preprocessors.md,Pending,
Unit 3: Programming Languages and Computer Graphics,OOP,Class and Object,oop__class_and_object.md,Pending,
Unit 3: Programming Languages and Computer Graphics,OOP,Instantiation,oop__instantiation.md,Pending,
Unit 3: Programming Languages and Computer Graphics,OOP,Inheritance,oop__inheritance.md,Pending,
Unit 3: Programming Languages and Computer Graphics,OOP,Encapsulation,oop__encapsulation.md,Pending,
Unit 3: Programming Languages and Computer Graphics,OOP,Abstract Class,oop__abstract_class.md,Pending,
Unit 3: Programming Languages and Computer Graphics,OOP,Polymorphism,oop__polymorphism.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Tokens and Identifiers,programming_in_c++__tokens_and_identifiers.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Variables and Constants,programming_in_c++__variables_and_constants.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Data Types,programming_in_c++__data_types.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Operators and Control Statements,programming_in_c++__operators_and_control_statements.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Functions and Parameter Passing,programming_in_c++__functions_and_parameter_passing.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Virtual Functions,programming_in_c++__virtual_functions.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Programming in C++,Classes and Objects,programming_in_c++__classes_and_objects.md,Pending,
